date,geography_code,geography_name,ssa_t1_desc,sex,ethnicity_group,notional_nvq_level,e_and_t_aims_enrolments,e_and_t_aims_ach
2021/22,E07000164,Hambleton,"Construction, Planning and the Built Environment",Total,White,Total,20,10
2021/22,E07000168,Scarborough,"Arts, Media and Publishing",Female,Total,4+,low,low
2021/22,E08000035,Leeds,Education and Training,Male,Black/African/Caribbean/Black British,E,low,low
2021/22,E07000169,Selby,Retail and Commercial Enterprise,Total,Total,Total,90,60
2021/22,E07000168,Scarborough,Engineering and Manufacturing Technologies,Male,Black/African/Caribbean/Black British,2,low,low
2021/22,E08000035,Leeds,"Arts, Media and Publishing",Female,Total,Not Assigned,20,20
2021/22,E07000165,Harrogate,"Construction, Planning and the Built Environment",Female,Asian/ Asian British,Not Assigned,low,low
2021/22,E08000036,Wakefield,Information and Communication Technology,Female,Asian/ Asian British,E,low,low
2021/22,E08000034,Kirklees,"Construction, Planning and the Built Environment",Total,Other Ethnic Group,2,low,low
2021/22,E07000164,Hambleton,"Arts, Media and Publishing",Female,Not Provided,4+,low,low
2021/22,E07000163,Craven,"Agriculture, Horticulture and Animal Care",Male,Total,Not Assigned,low,low
2021/22,E07000163,Craven,"Leisure, Travel and Tourism",Total,Not Provided,4+,low,low
2021/22,E07000168,Scarborough,Preparation for Life and Work,Female,White,2,120,80
2021/22,E07000164,Hambleton,Preparation for Life and Work,Female,Total,Not Assigned,low,low
2021/22,E07000163,Craven,Engineering and Manufacturing Technologies,Male,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E08000035,Leeds,Information and Communication Technology,Female,Black/African/Caribbean/Black British,1,40,30
2021/22,E08000033,Calderdale,Total,Total,White,Total,3300,2490
2021/22,E08000033,Calderdale,"History, Philosophy and Theology",Male,Asian/ Asian British,4+,low,low
2021/22,E07000163,Craven,Science and Mathematics,Male,Total,4+,low,low
2021/22,E07000169,Selby,"Construction, Planning and the Built Environment",Female,Other Ethnic Group,2,low,low
2021/22,E07000164,Hambleton,Retail and Commercial Enterprise,Male,Other Ethnic Group,E,low,low
2021/22,E08000036,Wakefield,"Leisure, Travel and Tourism",Total,Black/African/Caribbean/Black British,Total,10,10
2021/22,E07000166,Richmondshire,Not Applicable/ Not Known,Male,Black/African/Caribbean/Black British,1,low,low
2021/22,E08000035,Leeds,Science and Mathematics,Total,Not Provided,1,low,low
2021/22,E08000036,Wakefield,"History, Philosophy and Theology",Male,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000167,Ryedale,Not Applicable/ Not Known,Total,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E08000036,Wakefield,Preparation for Life and Work,Total,Other Ethnic Group,Total,190,140
2021/22,E08000033,Calderdale,"Health, Public Services and Care",Total,Other Ethnic Group,Not Assigned,low,low
2021/22,E07000163,Craven,"Arts, Media and Publishing",Female,Asian/ Asian British,4+,low,low
2021/22,E07000165,Harrogate,"Construction, Planning and the Built Environment",Male,White,Total,40,40
2021/22,E07000168,Scarborough,"Languages, Literature and Culture",Total,White,1,low,low
2021/22,E07000165,Harrogate,"Leisure, Travel and Tourism",Total,Other Ethnic Group,2,low,low
2021/22,E07000168,Scarborough,Social Sciences,Total,White,2,low,low
2021/22,E07000169,Selby,"Agriculture, Horticulture and Animal Care",Female,White,2,10,10
2021/22,E08000036,Wakefield,Education and Training,Female,Asian/ Asian British,2,10,low
2021/22,E07000166,Richmondshire,Social Sciences,Male,Not Provided,4+,low,low
2021/22,E07000167,Ryedale,Social Sciences,Total,Asian/ Asian British,E,low,low
2021/22,E07000167,Ryedale,Information and Communication Technology,Total,White,Total,30,20
2021/22,E07000164,Hambleton,Education and Training,Total,Black/African/Caribbean/Black British,4+,low,low
2021/22,E08000034,Kirklees,Retail and Commercial Enterprise,Female,White,2,210,180
2021/22,E08000033,Calderdale,Education and Training,Total,White,1,10,10
2021/22,E08000033,Calderdale,"Business, Administration and Law",Female,Black/African/Caribbean/Black British,Not Assigned,low,low
2021/22,E07000163,Craven,Information and Communication Technology,Female,Black/African/Caribbean/Black British,E,low,low
2021/22,E08000034,Kirklees,Not Applicable/ Not Known,Total,Total,E,low,low
2021/22,E08000035,Leeds,Not Applicable/ Not Known,Male,White,Total,30,20
2021/22,E07000167,Ryedale,Retail and Commercial Enterprise,Male,Not Provided,4+,low,low
2021/22,E08000033,Calderdale,Social Sciences,Total,Not Provided,3,low,low
2021/22,E07000164,Hambleton,"Languages, Literature and Culture",Female,White,Not Assigned,low,low
2021/22,E07000164,Hambleton,"Construction, Planning and the Built Environment",Female,Total,4+,low,low
2021/22,E07000167,Ryedale,Total,Female,Not Provided,1,low,low
2021/22,E08000035,Leeds,"Languages, Literature and Culture",Male,Other Ethnic Group,1,10,10
2021/22,E08000033,Calderdale,"Leisure, Travel and Tourism",Female,Asian/ Asian British,2,low,low
2021/22,E07000164,Hambleton,"Leisure, Travel and Tourism",Male,Other Ethnic Group,4+,low,low
2021/22,E08000033,Calderdale,"Languages, Literature and Culture",Female,Not Provided,2,low,low
2021/22,E08000036,Wakefield,"Construction, Planning and the Built Environment",Total,White,1,120,120
2021/22,E08000034,Kirklees,Engineering and Manufacturing Technologies,Total,White,Total,150,90
2021/22,E08000033,Calderdale,Not Applicable/ Not Known,Total,Mixed/ Multiple Ethnic Group,Total,low,low
2021/22,E07000169,Selby,Not Applicable/ Not Known,Female,Other Ethnic Group,Total,low,low
2021/22,E07000166,Richmondshire,Total,Female,Total,E,180,170
2021/22,E08000032,Bradford,Retail and Commercial Enterprise,Total,Total,4+,20,10
2021/22,E08000033,Calderdale,"Agriculture, Horticulture and Animal Care",Female,Other Ethnic Group,4+,low,low
2021/22,E07000163,Craven,Information and Communication Technology,Total,Not Provided,Not Assigned,low,low
2021/22,E08000036,Wakefield,Science and Mathematics,Male,Black/African/Caribbean/Black British,E,low,low
2021/22,E07000168,Scarborough,Retail and Commercial Enterprise,Total,Total,Total,50,30
2021/22,E07000163,Craven,Engineering and Manufacturing Technologies,Total,Asian/ Asian British,1,low,low
2021/22,E07000164,Hambleton,Not Applicable/ Not Known,Female,White,E,low,low
2021/22,E07000163,Craven,"Agriculture, Horticulture and Animal Care",Male,Asian/ Asian British,E,low,low
2021/22,E07000168,Scarborough,"Leisure, Travel and Tourism",Male,Not Provided,1,low,low
2021/22,E08000034,Kirklees,Education and Training,Male,Total,E,low,low
2021/22,E08000036,Wakefield,Education and Training,Total,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000163,Craven,"History, Philosophy and Theology",Female,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E07000163,Craven,Retail and Commercial Enterprise,Total,Not Provided,4+,low,low
2021/22,E07000165,Harrogate,Education and Training,Male,White,Not Assigned,low,low
2021/22,E08000036,Wakefield,"Business, Administration and Law",Total,Mixed/ Multiple Ethnic Group,3,10,low
2021/22,E08000034,Kirklees,Information and Communication Technology,Female,Asian/ Asian British,E,260,210
2021/22,E07000163,Craven,"Arts, Media and Publishing",Total,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E07000164,Hambleton,"Languages, Literature and Culture",Total,Black/African/Caribbean/Black British,2,low,low
2021/22,E08000035,Leeds,"History, Philosophy and Theology",Female,Other Ethnic Group,4+,low,low
2021/22,E07000166,Richmondshire,"History, Philosophy and Theology",Female,Total,Not Assigned,low,low
2021/22,E07000168,Scarborough,Education and Training,Male,Total,Total,10,10
2021/22,E08000034,Kirklees,"Construction, Planning and the Built Environment",Female,Black/African/Caribbean/Black British,3,low,low
2021/22,E07000167,Ryedale,"Business, Administration and Law",Female,Asian/ Asian British,Total,low,low
2021/22,E07000164,Hambleton,"Leisure, Travel and Tourism",Total,Black/African/Caribbean/Black British,Total,low,low
2021/22,E08000035,Leeds,Preparation for Life and Work,Male,Not Provided,Not Assigned,low,low
2021/22,E07000169,Selby,Retail and Commercial Enterprise,Male,Total,2,10,10
2021/22,E07000169,Selby,"Health, Public Services and Care",Female,Total,3,80,40
2021/22,E08000033,Calderdale,"Languages, Literature and Culture",Total,White,3,low,low
2021/22,E07000163,Craven,"Health, Public Services and Care",Male,Not Provided,1,low,low
2021/22,E07000163,Craven,Preparation for Life and Work,Total,Total,4+,low,low
2021/22,E07000167,Ryedale,"Agriculture, Horticulture and Animal Care",Male,Total,3,low,low
2021/22,E07000166,Richmondshire,Total,Female,Mixed/ Multiple Ethnic Group,2,10,10
2021/22,E07000163,Craven,"Business, Administration and Law",Total,White,E,low,low
2021/22,E07000165,Harrogate,"History, Philosophy and Theology",Male,Other Ethnic Group,E,low,low
2021/22,E08000032,Bradford,Total,Female,Black/African/Caribbean/Black British,E,450,380
2021/22,E07000164,Hambleton,Engineering and Manufacturing Technologies,Female,Black/African/Caribbean/Black British,Not Assigned,low,low
2021/22,E07000167,Ryedale,Information and Communication Technology,Total,Total,Not Assigned,low,low
2021/22,E07000165,Harrogate,"Arts, Media and Publishing",Female,White,Total,40,40
2021/22,E08000034,Kirklees,Education and Training,Male,Asian/ Asian British,Total,30,30
2021/22,E07000166,Richmondshire,Preparation for Life and Work,Male,Other Ethnic Group,Not Assigned,low,low
2021/22,E08000032,Bradford,"History, Philosophy and Theology",Female,Total,2,10,10
2021/22,E07000164,Hambleton,"Health, Public Services and Care",Total,Not Provided,E,low,low
2021/22,E07000163,Craven,Information and Communication Technology,Total,Black/African/Caribbean/Black British,1,low,low
2021/22,E07000166,Richmondshire,Information and Communication Technology,Male,Other Ethnic Group,Not Assigned,low,low
2021/22,E08000033,Calderdale,"Arts, Media and Publishing",Male,Total,3,10,10
2021/22,E08000035,Leeds,"Health, Public Services and Care",Male,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000163,Craven,Social Sciences,Female,Total,2,low,low
2021/22,E08000033,Calderdale,Engineering and Manufacturing Technologies,Total,White,4+,low,low
2021/22,E07000163,Craven,Total,Total,Black/African/Caribbean/Black British,Not Assigned,low,low
2021/22,E08000035,Leeds,Preparation for Life and Work,Female,Not Provided,Not Assigned,10,10
2021/22,E08000033,Calderdale,"Health, Public Services and Care",Female,Total,4+,20,10
2021/22,E07000166,Richmondshire,"Construction, Planning and the Built Environment",Total,Total,2,10,10
2021/22,E07000163,Craven,"Arts, Media and Publishing",Female,Total,3,low,low
2021/22,E07000168,Scarborough,"Languages, Literature and Culture",Total,Other Ethnic Group,4+,low,low
2021/22,E08000036,Wakefield,"Health, Public Services and Care",Male,Total,3,30,20
2021/22,E07000167,Ryedale,Retail and Commercial Enterprise,Total,Black/African/Caribbean/Black British,1,low,low
2021/22,E07000165,Harrogate,Information and Communication Technology,Female,Asian/ Asian British,E,low,low
2021/22,E08000035,Leeds,Science and Mathematics,Female,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E07000166,Richmondshire,Preparation for Life and Work,Female,Other Ethnic Group,Not Assigned,low,low
2021/22,E07000166,Richmondshire,"Arts, Media and Publishing",Female,White,3,low,low
2021/22,E08000036,Wakefield,"Agriculture, Horticulture and Animal Care",Female,Asian/ Asian British,E,low,low
2021/22,E07000167,Ryedale,"Health, Public Services and Care",Male,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E08000033,Calderdale,"Health, Public Services and Care",Total,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E07000163,Craven,"Leisure, Travel and Tourism",Male,Total,E,low,low
2021/22,E07000167,Ryedale,"History, Philosophy and Theology",Male,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E08000034,Kirklees,Information and Communication Technology,Male,Asian/ Asian British,E,40,30
2021/22,E07000164,Hambleton,"Leisure, Travel and Tourism",Male,White,4+,low,low
2021/22,E07000165,Harrogate,Information and Communication Technology,Female,White,1,20,10
2021/22,E08000034,Kirklees,"Agriculture, Horticulture and Animal Care",Total,White,Total,70,60
2021/22,E07000164,Hambleton,Not Applicable/ Not Known,Total,Other Ethnic Group,3,low,low
2021/22,E07000163,Craven,"Arts, Media and Publishing",Total,Asian/ Asian British,2,low,low
2021/22,E08000033,Calderdale,"Health, Public Services and Care",Female,Black/African/Caribbean/Black British,4+,low,low
2021/22,E07000165,Harrogate,Social Sciences,Female,White,Not Assigned,low,low
2021/22,E08000034,Kirklees,Retail and Commercial Enterprise,Total,Mixed/ Multiple Ethnic Group,Total,50,40
2021/22,E08000034,Kirklees,Information and Communication Technology,Female,Mixed/ Multiple Ethnic Group,E,10,10
2021/22,E08000032,Bradford,Not Applicable/ Not Known,Female,Black/African/Caribbean/Black British,Total,low,low
2021/22,E07000166,Richmondshire,Social Sciences,Male,Not Provided,3,low,low
2021/22,E08000036,Wakefield,"Health, Public Services and Care",Female,Other Ethnic Group,Not Assigned,low,low
2021/22,E08000032,Bradford,"Languages, Literature and Culture",Total,Black/African/Caribbean/Black British,2,50,40
2021/22,E07000165,Harrogate,Not Applicable/ Not Known,Total,White,E,low,low
2021/22,E07000169,Selby,Retail and Commercial Enterprise,Total,Total,2,30,20
2021/22,E07000168,Scarborough,"Health, Public Services and Care",Female,Not Provided,Total,10,low
2021/22,E07000166,Richmondshire,Social Sciences,Total,Other Ethnic Group,4+,low,low
2021/22,E07000163,Craven,"Health, Public Services and Care",Female,Other Ethnic Group,E,low,low
2021/22,E07000169,Selby,Education and Training,Male,Black/African/Caribbean/Black British,3,low,low
2021/22,E08000036,Wakefield,Retail and Commercial Enterprise,Total,Not Provided,1,low,low
2021/22,E08000036,Wakefield,Information and Communication Technology,Female,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E07000163,Craven,"Construction, Planning and the Built Environment",Total,Not Provided,3,low,low
2021/22,E08000036,Wakefield,"Business, Administration and Law",Total,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E07000163,Craven,"Agriculture, Horticulture and Animal Care",Male,White,1,10,10
2021/22,E08000036,Wakefield,"Arts, Media and Publishing",Total,Total,Total,190,170
2021/22,E07000168,Scarborough,"Leisure, Travel and Tourism",Female,Other Ethnic Group,E,low,low
2021/22,E08000033,Calderdale,"Languages, Literature and Culture",Total,White,Total,60,50
2021/22,E07000164,Hambleton,Total,Male,Not Provided,2,low,low
2021/22,E08000033,Calderdale,Retail and Commercial Enterprise,Total,Black/African/Caribbean/Black British,3,low,low
2021/22,E08000034,Kirklees,"Business, Administration and Law",Female,White,2,120,70
2021/22,E07000166,Richmondshire,Preparation for Life and Work,Male,White,Total,180,140
2021/22,E07000163,Craven,"History, Philosophy and Theology",Female,Asian/ Asian British,1,low,low
2021/22,E08000033,Calderdale,"Health, Public Services and Care",Male,Total,Not Assigned,low,low
2021/22,E08000034,Kirklees,Education and Training,Male,Mixed/ Multiple Ethnic Group,Total,low,low
2021/22,E07000164,Hambleton,"Arts, Media and Publishing",Total,Total,Total,40,30
2021/22,E07000163,Craven,"Agriculture, Horticulture and Animal Care",Total,Black/African/Caribbean/Black British,Total,low,low
2021/22,E08000035,Leeds,Retail and Commercial Enterprise,Total,Asian/ Asian British,Not Assigned,low,low
2021/22,E08000036,Wakefield,"Leisure, Travel and Tourism",Female,Total,Not Assigned,low,low
2021/22,E08000032,Bradford,Total,Total,Other Ethnic Group,2,220,150
2021/22,E07000165,Harrogate,"History, Philosophy and Theology",Male,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E08000032,Bradford,"Leisure, Travel and Tourism",Total,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000166,Richmondshire,"History, Philosophy and Theology",Total,Total,1,low,low
2021/22,E07000168,Scarborough,Total,Total,Total,Total,1880,1310
2021/22,E08000035,Leeds,"Business, Administration and Law",Total,White,1,120,100
2021/22,E07000166,Richmondshire,"Arts, Media and Publishing",Male,Total,E,10,10
2021/22,E08000032,Bradford,Retail and Commercial Enterprise,Total,Mixed/ Multiple Ethnic Group,Total,40,30
2021/22,E07000163,Craven,"Agriculture, Horticulture and Animal Care",Male,Other Ethnic Group,4+,low,low
2021/22,E07000163,Craven,Total,Female,Not Provided,1,low,low
2021/22,E07000168,Scarborough,Preparation for Life and Work,Total,Other Ethnic Group,Total,90,80
2021/22,E08000036,Wakefield,Retail and Commercial Enterprise,Female,White,Not Assigned,low,low
2021/22,E08000034,Kirklees,"Agriculture, Horticulture and Animal Care",Total,Asian/ Asian British,Total,10,low
2021/22,E08000035,Leeds,"Arts, Media and Publishing",Total,White,E,20,20
2021/22,E07000166,Richmondshire,Science and Mathematics,Total,Asian/ Asian British,4+,low,low
2021/22,E07000167,Ryedale,Science and Mathematics,Total,Black/African/Caribbean/Black British,4+,low,low
2021/22,E08000036,Wakefield,"History, Philosophy and Theology",Male,Not Provided,2,low,low
2021/22,E08000033,Calderdale,"Arts, Media and Publishing",Female,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E08000035,Leeds,Not Applicable/ Not Known,Female,Black/African/Caribbean/Black British,3,low,low
2021/22,E07000168,Scarborough,"Business, Administration and Law",Total,Asian/ Asian British,4+,low,low
2021/22,E08000035,Leeds,Science and Mathematics,Female,Asian/ Asian British,Not Assigned,low,low
2021/22,E07000164,Hambleton,"Health, Public Services and Care",Total,White,3,60,40
2021/22,E07000169,Selby,"Leisure, Travel and Tourism",Male,Not Provided,4+,low,low
2021/22,E07000164,Hambleton,"Arts, Media and Publishing",Total,Total,Not Assigned,10,low
2021/22,E07000163,Craven,Engineering and Manufacturing Technologies,Total,Other Ethnic Group,E,low,low
2021/22,E08000034,Kirklees,Preparation for Life and Work,Total,Asian/ Asian British,4+,low,low
2021/22,E08000033,Calderdale,Social Sciences,Female,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E07000166,Richmondshire,Retail and Commercial Enterprise,Female,Black/African/Caribbean/Black British,E,low,low
2021/22,E07000165,Harrogate,"Construction, Planning and the Built Environment",Female,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E07000163,Craven,Engineering and Manufacturing Technologies,Male,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E07000164,Hambleton,Information and Communication Technology,Total,Total,E,low,low
2021/22,E07000169,Selby,"Languages, Literature and Culture",Female,Asian/ Asian British,E,low,low
2021/22,E08000033,Calderdale,Not Applicable/ Not Known,Total,Asian/ Asian British,Total,low,low
2021/22,E08000035,Leeds,Preparation for Life and Work,Female,Not Provided,Total,240,210
2021/22,E07000167,Ryedale,Retail and Commercial Enterprise,Total,Total,4+,low,low
2021/22,E08000033,Calderdale,"Arts, Media and Publishing",Male,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E08000036,Wakefield,"Arts, Media and Publishing",Female,Other Ethnic Group,Total,low,low
2021/22,E08000033,Calderdale,"Leisure, Travel and Tourism",Male,Not Provided,Total,low,low
2021/22,E07000167,Ryedale,"Health, Public Services and Care",Total,Not Provided,3,low,low
2021/22,E08000033,Calderdale,"Business, Administration and Law",Female,Black/African/Caribbean/Black British,Total,low,low
2021/22,E08000034,Kirklees,Engineering and Manufacturing Technologies,Total,Total,Not Assigned,low,low
2021/22,E07000167,Ryedale,"Arts, Media and Publishing",Male,Other Ethnic Group,1,low,low
2021/22,E07000165,Harrogate,"Languages, Literature and Culture",Total,White,3,low,low
2021/22,E08000033,Calderdale,Total,Female,Not Provided,1,10,10
2021/22,E08000033,Calderdale,Not Applicable/ Not Known,Female,White,Total,10,low
2021/22,E08000034,Kirklees,Information and Communication Technology,Male,White,4+,low,low
2021/22,E07000165,Harrogate,"Arts, Media and Publishing",Female,Black/African/Caribbean/Black British,3,low,low
2021/22,E08000036,Wakefield,Not Applicable/ Not Known,Male,Asian/ Asian British,1,low,low
2021/22,E08000032,Bradford,"Languages, Literature and Culture",Female,Other Ethnic Group,E,low,low
2021/22,E07000168,Scarborough,Information and Communication Technology,Female,Black/African/Caribbean/Black British,Total,low,low
2021/22,E07000166,Richmondshire,Not Applicable/ Not Known,Female,Black/African/Caribbean/Black British,E,low,low
2021/22,E07000163,Craven,Information and Communication Technology,Female,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E07000166,Richmondshire,Preparation for Life and Work,Female,White,Total,100,80
2021/22,E07000167,Ryedale,"Health, Public Services and Care",Female,Black/African/Caribbean/Black British,3,low,low
2021/22,E07000164,Hambleton,Engineering and Manufacturing Technologies,Total,Not Provided,Not Assigned,low,low
2021/22,E07000163,Craven,"Arts, Media and Publishing",Male,Black/African/Caribbean/Black British,Total,low,low
2021/22,E08000036,Wakefield,Retail and Commercial Enterprise,Total,Asian/ Asian British,3,low,low
2021/22,E07000166,Richmondshire,"Arts, Media and Publishing",Female,Total,2,10,low
2021/22,E07000163,Craven,Retail and Commercial Enterprise,Male,Asian/ Asian British,3,low,low
2021/22,E07000166,Richmondshire,Retail and Commercial Enterprise,Male,Black/African/Caribbean/Black British,1,low,low
2021/22,E07000167,Ryedale,"Arts, Media and Publishing",Male,Total,E,low,low
2021/22,E07000169,Selby,"Agriculture, Horticulture and Animal Care",Female,Not Provided,2,low,low
2021/22,E07000168,Scarborough,Preparation for Life and Work,Female,Total,E,60,50
2021/22,E07000166,Richmondshire,Not Applicable/ Not Known,Total,Black/African/Caribbean/Black British,1,low,low
2021/22,E08000032,Bradford,"Languages, Literature and Culture",Total,Other Ethnic Group,1,10,low
2021/22,E07000165,Harrogate,"Health, Public Services and Care",Female,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E07000163,Craven,Science and Mathematics,Total,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000169,Selby,Engineering and Manufacturing Technologies,Total,White,Not Assigned,low,low
2021/22,E08000033,Calderdale,Social Sciences,Female,Total,E,low,low
2021/22,E07000166,Richmondshire,"Agriculture, Horticulture and Animal Care",Male,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E07000166,Richmondshire,Social Sciences,Total,Total,3,low,low
2021/22,E07000164,Hambleton,Not Applicable/ Not Known,Female,White,1,low,low
2021/22,E07000163,Craven,"Leisure, Travel and Tourism",Male,Asian/ Asian British,2,low,low
2021/22,E07000168,Scarborough,"Arts, Media and Publishing",Total,Black/African/Caribbean/Black British,4+,low,low
2021/22,E08000036,Wakefield,Retail and Commercial Enterprise,Male,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E08000033,Calderdale,Science and Mathematics,Male,Other Ethnic Group,4+,low,low
2021/22,E07000165,Harrogate,"Arts, Media and Publishing",Female,Total,Not Assigned,low,low
2021/22,E08000032,Bradford,"Languages, Literature and Culture",Total,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E07000169,Selby,Preparation for Life and Work,Female,Not Provided,2,low,low
2021/22,E07000166,Richmondshire,"Leisure, Travel and Tourism",Total,White,2,10,low
2021/22,E07000165,Harrogate,"Construction, Planning and the Built Environment",Female,White,1,low,low
2021/22,E07000168,Scarborough,Science and Mathematics,Total,Not Provided,2,low,low
2021/22,E07000166,Richmondshire,"Leisure, Travel and Tourism",Total,Other Ethnic Group,2,low,low
2021/22,E07000163,Craven,Education and Training,Female,Total,2,10,10
2021/22,E07000166,Richmondshire,Engineering and Manufacturing Technologies,Total,Black/African/Caribbean/Black British,Total,low,low
2021/22,E07000168,Scarborough,Preparation for Life and Work,Male,Total,1,160,140
2021/22,E08000032,Bradford,"Arts, Media and Publishing",Female,Black/African/Caribbean/Black British,2,low,low
2021/22,E08000035,Leeds,"Languages, Literature and Culture",Total,Other Ethnic Group,3,low,low
2021/22,E07000163,Craven,"History, Philosophy and Theology",Male,Asian/ Asian British,4+,low,low
2021/22,E08000034,Kirklees,Education and Training,Male,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E07000167,Ryedale,Information and Communication Technology,Total,Total,Total,30,20
2021/22,E07000163,Craven,"History, Philosophy and Theology",Male,Not Provided,1,low,low
2021/22,E07000166,Richmondshire,"Arts, Media and Publishing",Female,Not Provided,1,low,low
2021/22,E08000033,Calderdale,Retail and Commercial Enterprise,Total,Black/African/Caribbean/Black British,E,low,low
2021/22,E08000034,Kirklees,Preparation for Life and Work,Total,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000164,Hambleton,Not Applicable/ Not Known,Female,Other Ethnic Group,1,low,low
2021/22,E08000032,Bradford,"Languages, Literature and Culture",Total,White,1,10,10
2021/22,E08000033,Calderdale,Retail and Commercial Enterprise,Male,Asian/ Asian British,Total,10,10
2021/22,E07000168,Scarborough,"Leisure, Travel and Tourism",Female,Total,E,low,low
2021/22,E08000036,Wakefield,Social Sciences,Female,Other Ethnic Group,2,low,low
2021/22,E08000036,Wakefield,"Construction, Planning and the Built Environment",Male,Asian/ Asian British,3,low,low
2021/22,E07000164,Hambleton,"Languages, Literature and Culture",Female,White,Total,10,10
2021/22,E07000165,Harrogate,"Construction, Planning and the Built Environment",Total,Not Provided,E,low,low
2021/22,E08000035,Leeds,Not Applicable/ Not Known,Female,Black/African/Caribbean/Black British,4+,low,low
2021/22,E07000163,Craven,"Agriculture, Horticulture and Animal Care",Male,White,4+,low,low
2021/22,E07000166,Richmondshire,"Business, Administration and Law",Female,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E07000163,Craven,"History, Philosophy and Theology",Female,Other Ethnic Group,E,low,low
2021/22,E07000163,Craven,Engineering and Manufacturing Technologies,Male,Asian/ Asian British,1,low,low
2021/22,E08000034,Kirklees,Not Applicable/ Not Known,Total,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E08000034,Kirklees,"Leisure, Travel and Tourism",Total,Other Ethnic Group,4+,low,low
2021/22,E08000036,Wakefield,Not Applicable/ Not Known,Male,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E07000166,Richmondshire,Education and Training,Total,Total,1,low,low
2021/22,E08000034,Kirklees,Not Applicable/ Not Known,Female,Other Ethnic Group,2,low,low
2021/22,E07000163,Craven,Information and Communication Technology,Male,Black/African/Caribbean/Black British,1,low,low
2021/22,E07000164,Hambleton,Education and Training,Total,White,2,20,20
2021/22,E08000032,Bradford,"Languages, Literature and Culture",Female,White,E,low,low
2021/22,E07000166,Richmondshire,Preparation for Life and Work,Female,Other Ethnic Group,Total,30,20
2021/22,E07000163,Craven,Retail and Commercial Enterprise,Male,Not Provided,4+,low,low
2021/22,E08000033,Calderdale,"History, Philosophy and Theology",Female,Other Ethnic Group,3,low,low
2021/22,E07000167,Ryedale,Engineering and Manufacturing Technologies,Male,White,Not Assigned,low,low
2021/22,E08000034,Kirklees,Information and Communication Technology,Male,Other Ethnic Group,4+,low,low
2021/22,E08000036,Wakefield,Retail and Commercial Enterprise,Total,Asian/ Asian British,4+,low,low
2021/22,E07000163,Craven,Total,Male,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E07000169,Selby,"Construction, Planning and the Built Environment",Female,Black/African/Caribbean/Black British,2,low,low
2021/22,E08000036,Wakefield,Not Applicable/ Not Known,Total,Other Ethnic Group,E,low,low
2021/22,E08000032,Bradford,"Health, Public Services and Care",Total,White,Total,2040,1400
2021/22,E08000032,Bradford,Preparation for Life and Work,Total,Mixed/ Multiple Ethnic Group,1,120,80
2021/22,E08000032,Bradford,"Agriculture, Horticulture and Animal Care",Male,Asian/ Asian British,2,low,low
2021/22,E07000166,Richmondshire,Social Sciences,Total,Total,4+,low,low
2021/22,E07000164,Hambleton,Information and Communication Technology,Total,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E07000165,Harrogate,Education and Training,Total,Asian/ Asian British,3,low,low
2021/22,E07000166,Richmondshire,Science and Mathematics,Female,White,Total,10,10
2021/22,E08000032,Bradford,Information and Communication Technology,Female,White,3,low,low
2021/22,E07000163,Craven,Retail and Commercial Enterprise,Female,Black/African/Caribbean/Black British,2,low,low
2021/22,E07000168,Scarborough,Science and Mathematics,Total,Other Ethnic Group,Total,low,low
2021/22,E07000167,Ryedale,Not Applicable/ Not Known,Male,Other Ethnic Group,3,low,low
2021/22,E08000032,Bradford,"Arts, Media and Publishing",Female,Total,Total,350,280
