Local Area,JobFunction Growth Rank,JobFunction Name,Job Growth Rank,Job Name,Skill Rank,Top 10 List of Skills Needed for the Job,Top 10 List of Skills Added by Members in Chamber Region occupied with the Job,"<--This job list contains ALL jobs that have been growing in demand from 2017 to 2021, categorized into Job Functions for readability"
West Yorkshire,12,Accounting,5,Audit Supervisor,5,Financial Reporting,Financial Reporting,NA
West Yorkshire,12,Accounting,5,Audit Supervisor,6,Internal Controls,International Financial Reporting Standards (IFRS),NA
West Yorkshire,12,Accounting,5,Audit Supervisor,7,Accounting,Financial Analysis,NA
West Yorkshire,12,Accounting,5,Audit Supervisor,8,Financial Audits,Assurance Services,NA
West Yorkshire,12,Accounting,5,Audit Supervisor,9,Assurance Services,Financial Audits,NA
West Yorkshire,12,Accounting,5,Audit Supervisor,10,Internal Audits,Internal Audits,NA
West Yorkshire,13,Information Technology,1,Data Engineer,1,Data Engineering,Data Engineering,NA
West Yorkshire,13,Information Technology,1,Data Engineer,2,Apache Spark,Python (Programming Language),NA
West Yorkshire,13,Information Technology,1,Data Engineer,3,Hadoop,Apache Spark,NA
West Yorkshire,13,Information Technology,1,Data Engineer,4,Hive,"Extract, Transform, Load (ETL)",NA
West Yorkshire,13,Information Technology,1,Data Engineer,5,Amazon Web Services (AWS),Azure Data Factory,NA
West Yorkshire,13,Information Technology,1,Data Engineer,6,"Extract, Transform, Load (ETL)",PySpark,NA
West Yorkshire,13,Information Technology,1,Data Engineer,7,Python (Programming Language),SQL,NA
West Yorkshire,13,Information Technology,1,Data Engineer,8,Scala,Scala,NA
West Yorkshire,13,Information Technology,1,Data Engineer,9,Big Data,Hive,NA
West Yorkshire,13,Information Technology,1,Data Engineer,10,SQL,Amazon Web Services (AWS),NA
West Yorkshire,13,Information Technology,2,User Experience Researcher,1,Usability Testing,Usability Testing,NA
West Yorkshire,13,Information Technology,2,User Experience Researcher,2,User Experience (UX),User Experience (UX),NA
West Yorkshire,13,Information Technology,2,User Experience Researcher,3,User-centered Design,NA,NA
West Yorkshire,13,Information Technology,2,User Experience Researcher,4,Usability,NA,NA
West Yorkshire,13,Information Technology,2,User Experience Researcher,5,User Experience Testing,NA,NA
West Yorkshire,13,Information Technology,2,User Experience Researcher,6,Qualitative Research,NA,NA
West Yorkshire,13,Information Technology,2,User Experience Researcher,7,Card Sorting,NA,NA
West Yorkshire,13,Information Technology,2,User Experience Researcher,8,User Experience Design (UED),NA,NA
West Yorkshire,13,Information Technology,2,User Experience Researcher,9,Wireframing,NA,NA
West Yorkshire,13,Information Technology,2,User Experience Researcher,10,Design Thinking,NA,NA
West Yorkshire,13,Information Technology,3,Technical Support Specialist,1,Technical Support,Technical Support,NA
West Yorkshire,13,Information Technology,3,Technical Support Specialist,2,Troubleshooting,Troubleshooting,NA
West Yorkshire,13,Information Technology,3,Technical Support Specialist,3,Active Directory,Networking,NA
West Yorkshire,13,Information Technology,3,Technical Support Specialist,4,Windows Server,Customer Support,NA
West Yorkshire,13,Information Technology,3,Technical Support Specialist,5,Computer Hardware,Customer Satisfaction,NA
West Yorkshire,13,Information Technology,3,Technical Support Specialist,6,Windows 7,Customer Experience,NA
West Yorkshire,13,Information Technology,3,Technical Support Specialist,7,Networking,Problem Solving,NA
West Yorkshire,13,Information Technology,3,Technical Support Specialist,8,Windows,Adobe Photoshop,NA
West Yorkshire,13,Information Technology,3,Technical Support Specialist,9,Windows 10,Customer Service,NA
West Yorkshire,13,Information Technology,3,Technical Support Specialist,10,Microsoft Exchange,Microsoft Office,NA
West Yorkshire,13,Information Technology,4,System Engineer,1,Systems Engineering,Systems Engineering,NA
West Yorkshire,13,Information Technology,4,System Engineer,2,Rational DOORS,Windows Server,NA
West Yorkshire,13,Information Technology,4,System Engineer,3,Windows Server,Servers,NA
West Yorkshire,13,Information Technology,4,System Engineer,4,Requirements Management,Cisco Systems Products,NA
West Yorkshire,13,Information Technology,4,System Engineer,5,VMware,Docker Products,NA
West Yorkshire,13,Information Technology,4,System Engineer,6,Active Directory,Networking,NA
West Yorkshire,13,Information Technology,4,System Engineer,7,Virtualization,Virtualization,NA
West Yorkshire,13,Information Technology,4,System Engineer,8,Engineering,Domain Name System (DNS),NA
West Yorkshire,13,Information Technology,4,System Engineer,9,Systems Design,Disaster Recovery,NA
West Yorkshire,13,Information Technology,4,System Engineer,10,Integration,Microsoft SQL Server,NA
West Yorkshire,13,Information Technology,4,System Engineer,10,Integration,Active Directory,NA
West Yorkshire,13,Information Technology,5,Data Analyst,1,SQL,Data Analysis,NA
West Yorkshire,13,Information Technology,5,Data Analyst,2,Data Visualization,Microsoft Power BI,NA
West Yorkshire,13,Information Technology,5,Data Analyst,3,Tableau,SQL,NA
West Yorkshire,13,Information Technology,5,Data Analyst,4,Microsoft Power BI,Data Analytics,NA
West Yorkshire,13,Information Technology,5,Data Analyst,5,Data Analysis,Data Visualization,NA
West Yorkshire,13,Information Technology,5,Data Analyst,6,Python (Programming Language),Tableau,NA
West Yorkshire,13,Information Technology,5,Data Analyst,7,R (Programming Language),Visual Basic for Applications (VBA),NA
West Yorkshire,13,Information Technology,5,Data Analyst,8,Data Analytics,Python (Programming Language),NA
West Yorkshire,13,Information Technology,5,Data Analyst,9,Microsoft SQL Server,Microsoft SQL Server,NA
West Yorkshire,13,Information Technology,5,Data Analyst,10,Data Science,Analytics,NA
West Yorkshire,13,Information Technology,6,Data Administrator,1,Data Administration,Data Entry,NA
West Yorkshire,13,Information Technology,6,Data Administrator,2,Data Entry,Data Analysis,NA
West Yorkshire,13,Information Technology,6,Data Administrator,3,Data Management,Microsoft Excel,NA
West Yorkshire,13,Information Technology,6,Data Administrator,4,Database Administration,Administration,NA
West Yorkshire,13,Information Technology,6,Data Administrator,5,Data Analysis,Microsoft Office,NA
West Yorkshire,13,Information Technology,6,Data Administrator,6,Administration,Microsoft Word,NA
West Yorkshire,13,Information Technology,6,Data Administrator,7,Office Administration,Teamwork,NA
West Yorkshire,13,Information Technology,6,Data Administrator,8,Databases,Time Management,NA
West Yorkshire,13,Information Technology,6,Data Administrator,9,Time Management,Research,NA
West Yorkshire,13,Information Technology,6,Data Administrator,10,Teamwork,Customer Service,NA
West Yorkshire,13,Information Technology,7,Cyber Security Analyst,1,Cybersecurity,Security Information and Event Management (SIEM),NA
West Yorkshire,13,Information Technology,7,Cyber Security Analyst,2,Security Information and Event Management (SIEM),Cybersecurity,NA
West Yorkshire,13,Information Technology,7,Cyber Security Analyst,3,Information Security,Information Security,NA
West Yorkshire,13,Information Technology,7,Cyber Security Analyst,4,Network Security,Network Security,NA
West Yorkshire,13,Information Technology,7,Cyber Security Analyst,5,Splunk,ArcSight,NA
West Yorkshire,13,Information Technology,7,Cyber Security Analyst,6,Incident Response,Splunk,NA
West Yorkshire,13,Information Technology,7,Cyber Security Analyst,7,Security,Threat & Vulnerability Management,NA
West Yorkshire,13,Information Technology,7,Cyber Security Analyst,8,Malware Analysis,Security,NA
West Yorkshire,13,Information Technology,7,Cyber Security Analyst,9,Vulnerability Assessment,Linux,NA
West Yorkshire,13,Information Technology,7,Cyber Security Analyst,10,Security Operations Center,Technical Support,NA
West Yorkshire,13,Information Technology,8,Business Intelligence Developer,1,SQL Server Integration Services (SSIS),SQL Server Integration Services (SSIS),NA
West Yorkshire,13,Information Technology,8,Business Intelligence Developer,2,SQL Server Reporting Services (SSRS),SQL Server Reporting Services (SSRS),NA
West Yorkshire,13,Information Technology,8,Business Intelligence Developer,3,"Extract, Transform, Load (ETL)",SQL Server Analysis Services (SSAS),NA
West Yorkshire,13,Information Technology,8,Business Intelligence Developer,4,Data Warehousing,Microsoft Power BI,NA
West Yorkshire,13,Information Technology,8,Business Intelligence Developer,5,SQL Server Analysis Services (SSAS),Microsoft SQL Server,NA
West Yorkshire,13,Information Technology,8,Business Intelligence Developer,6,Microsoft Power BI,"Extract, Transform, Load (ETL)",NA
West Yorkshire,13,Information Technology,8,Business Intelligence Developer,7,Transact-SQL (T-SQL),Business Intelligence (BI),NA
West Yorkshire,13,Information Technology,8,Business Intelligence Developer,8,Business Intelligence Tools,Transact-SQL (T-SQL),NA
West Yorkshire,13,Information Technology,8,Business Intelligence Developer,9,Microsoft SQL Server,Business Intelligence Tools,NA
West Yorkshire,13,Information Technology,8,Business Intelligence Developer,10,Business Intelligence (BI),Data Warehousing,NA
West Yorkshire,13,Information Technology,9,Head Of Information Technology,1,IT Strategy,IT Strategy,NA
West Yorkshire,13,Information Technology,9,Head Of Information Technology,2,IT Management,IT Management,NA
West Yorkshire,13,Information Technology,9,Head Of Information Technology,3,IT Service Management (ITSM),IT Service Management (ITSM),NA
West Yorkshire,13,Information Technology,9,Head Of Information Technology,4,Cloud Computing,Project Delivery,NA
West Yorkshire,13,Information Technology,9,Head Of Information Technology,5,Infrastructure,ITIL,NA
West Yorkshire,13,Information Technology,9,Head Of Information Technology,6,ITIL,IT Operations,NA
West Yorkshire,13,Information Technology,9,Head Of Information Technology,7,IT Operations,Information Technology,NA
West Yorkshire,13,Information Technology,9,Head Of Information Technology,8,Information Technology,Stakeholder Management,NA
West Yorkshire,13,Information Technology,9,Head Of Information Technology,9,IT Infrastructure Management,Change Management,NA
West Yorkshire,13,Information Technology,9,Head Of Information Technology,10,Integration,Business Process Improvement,NA
West Yorkshire,13,Information Technology,10,Information Technology Technician,1,Active Directory,Active Directory,NA
West Yorkshire,13,Information Technology,10,Information Technology Technician,2,Windows Server,Technical Support,NA
West Yorkshire,13,Information Technology,10,Information Technology Technician,3,Technical Support,Windows Server,NA
West Yorkshire,13,Information Technology,10,Information Technology Technician,4,Windows 10,Windows 10,NA
West Yorkshire,13,Information Technology,10,Information Technology Technician,5,Windows 7,Troubleshooting,NA
West Yorkshire,13,Information Technology,10,Information Technology Technician,6,Computer Hardware,Computer Hardware,NA
West Yorkshire,13,Information Technology,10,Information Technology Technician,7,Troubleshooting,Windows 7,NA
West Yorkshire,13,Information Technology,10,Information Technology Technician,8,Network Administration,Windows,NA
West Yorkshire,13,Information Technology,10,Information Technology Technician,9,IT Hardware Support,NA,NA
West Yorkshire,13,Information Technology,10,Information Technology Technician,10,Windows,IT Hardware Support,NA
West Yorkshire,13,Information Technology,11,Technical Support Engineer,1,Active Directory,Technical Support,NA
West Yorkshire,13,Information Technology,11,Technical Support Engineer,2,Technical Support,Active Directory,NA
West Yorkshire,13,Information Technology,11,Technical Support Engineer,3,Windows Server,Windows Server,NA
West Yorkshire,13,Information Technology,11,Technical Support Engineer,4,Troubleshooting,Troubleshooting,NA
West Yorkshire,13,Information Technology,11,Technical Support Engineer,5,Microsoft Exchange,Windows 10,NA
West Yorkshire,13,Information Technology,11,Technical Support Engineer,6,Windows 7,Microsoft Exchange,NA
West Yorkshire,13,Information Technology,11,Technical Support Engineer,7,Windows 10,Windows,NA
West Yorkshire,13,Information Technology,11,Technical Support Engineer,8,Servers,NA,NA
West Yorkshire,13,Information Technology,11,Technical Support Engineer,9,VMware,Windows 7,NA
West Yorkshire,13,Information Technology,11,Technical Support Engineer,10,Networking,Networking,NA
West Yorkshire,13,Information Technology,12,Service Delivery Director,1,Service Delivery,Service Delivery,NA
West Yorkshire,13,Information Technology,12,Service Delivery Director,2,Service Delivery Management,Service Delivery Management,NA
West Yorkshire,13,Information Technology,12,Service Delivery Director,3,IT Service Management (ITSM),ITIL,NA
West Yorkshire,13,Information Technology,12,Service Delivery Director,4,ITIL,IT Service Management (ITSM),NA
West Yorkshire,13,Information Technology,12,Service Delivery Director,5,Incident Management,Service-Level Agreements (SLA),NA
West Yorkshire,13,Information Technology,12,Service Delivery Director,6,Service-Level Agreements (SLA),Change Management,NA
West Yorkshire,13,Information Technology,12,Service Delivery Director,7,IT Strategy,Problem Management,NA
West Yorkshire,13,Information Technology,12,Service Delivery Director,8,IT Management,Service Improvement,NA
West Yorkshire,13,Information Technology,12,Service Delivery Director,9,Service Improvement,Incident Management,NA
West Yorkshire,13,Information Technology,12,Service Delivery Director,10,Outsourcing,Business Process Improvement,NA
West Yorkshire,13,Information Technology,13,Information Technology Analyst,1,Active Directory,Java,NA
West Yorkshire,13,Information Technology,13,Information Technology Analyst,2,SQL,SQL,NA
West Yorkshire,13,Information Technology,13,Information Technology Analyst,3,Java,Python (Programming Language),NA
West Yorkshire,13,Information Technology,13,Information Technology Analyst,4,ITIL,Active Directory,NA
West Yorkshire,13,Information Technology,13,Information Technology Analyst,5,Agile Methodologies,Agile Methodologies,NA
West Yorkshire,13,Information Technology,13,Information Technology Analyst,6,Windows Server,Information Technology,NA
West Yorkshire,13,Information Technology,13,Information Technology Analyst,7,JavaScript,Microsoft SQL Server,NA
West Yorkshire,13,Information Technology,13,Information Technology Analyst,8,Technical Support,C (Programming Language),NA
West Yorkshire,13,Information Technology,13,Information Technology Analyst,9,Requirements Analysis,ITIL,NA
West Yorkshire,13,Information Technology,13,Information Technology Analyst,10,Python (Programming Language),Requirements Analysis,NA
West Yorkshire,13,Information Technology,14,Information Technology Application Manager,1,ITIL,Stakeholder Management,NA
West Yorkshire,13,Information Technology,14,Information Technology Application Manager,2,Business Analysis,Business Analysis,NA
West Yorkshire,13,Information Technology,14,Information Technology Application Manager,3,IT Strategy,Change Management,NA
West Yorkshire,13,Information Technology,14,Information Technology Application Manager,4,Integration,Service Delivery,NA
West Yorkshire,13,Information Technology,14,Information Technology Application Manager,5,IT Service Management (ITSM),Project Delivery,NA
West Yorkshire,13,Information Technology,14,Information Technology Application Manager,6,Requirements Analysis,IT Service Management (ITSM),NA
West Yorkshire,13,Information Technology,14,Information Technology Application Manager,7,Project Delivery,Business Process Improvement,NA
West Yorkshire,13,Information Technology,14,Information Technology Application Manager,8,Business Process Improvement,Project Management,NA
West Yorkshire,13,Information Technology,14,Information Technology Application Manager,9,Business Process,Strategy,NA
West Yorkshire,13,Information Technology,14,Information Technology Application Manager,10,IT Management,Team Leadership,NA
West Yorkshire,13,Information Technology,15,Information Technology Specialist,1,Active Directory,Active Directory,NA
West Yorkshire,13,Information Technology,15,Information Technology Specialist,2,Windows Server,Technical Support,NA
West Yorkshire,13,Information Technology,15,Information Technology Specialist,3,Technical Support,ITIL,NA
West Yorkshire,13,Information Technology,15,Information Technology Specialist,4,Information Technology,Windows Server,NA
West Yorkshire,13,Information Technology,15,Information Technology Specialist,5,Windows 7,Information Technology,NA
West Yorkshire,13,Information Technology,15,Information Technology Specialist,6,ITIL,IT Service Management (ITSM),NA
West Yorkshire,13,Information Technology,15,Information Technology Specialist,7,Troubleshooting,Troubleshooting,NA
West Yorkshire,13,Information Technology,15,Information Technology Specialist,8,Microsoft Exchange,Windows 10,NA
West Yorkshire,13,Information Technology,15,Information Technology Specialist,9,IT Service Management (ITSM),Networking,NA
West Yorkshire,13,Information Technology,15,Information Technology Specialist,10,Windows 10,IT Operations,NA
West Yorkshire,14,Media and Communication,1,Content Coordinator,1,Copywriting,Copywriting,NA
West Yorkshire,14,Media and Communication,1,Content Coordinator,2,Content Strategy,Content Management,NA
West Yorkshire,14,Media and Communication,1,Content Coordinator,3,Content Management,Search Engine Optimization (SEO),NA
West Yorkshire,14,Media and Communication,1,Content Coordinator,4,Web Content Writing,Digital Marketing,NA
West Yorkshire,14,Media and Communication,1,Content Coordinator,5,Search Engine Optimization (SEO),Content Strategy,NA
West Yorkshire,14,Media and Communication,1,Content Coordinator,6,Content Marketing,Web Content Writing,NA
West Yorkshire,14,Media and Communication,1,Content Coordinator,7,Digital Marketing,Content Marketing,NA
West Yorkshire,14,Media and Communication,1,Content Coordinator,8,Content Management Systems (CMS),Writing,NA
West Yorkshire,14,Media and Communication,1,Content Coordinator,9,Editing,Graphic Design,NA
West Yorkshire,14,Media and Communication,1,Content Coordinator,10,Social Media Marketing,Editing,NA
West Yorkshire,14,Media and Communication,2,Public Relations Executive,1,Public Relations,Public Relations,NA
West Yorkshire,14,Media and Communication,2,Public Relations Executive,2,Press Releases,Social Media Marketing,NA
West Yorkshire,14,Media and Communication,2,Public Relations Executive,3,Copywriting,Press Releases,NA
West Yorkshire,14,Media and Communication,2,Public Relations Executive,4,Media Relations,Blogging,NA
West Yorkshire,14,Media and Communication,2,Public Relations Executive,5,Social Media Marketing,Digital Marketing,NA
West Yorkshire,14,Media and Communication,2,Public Relations Executive,6,Digital Marketing,Search Engine Optimization (SEO),NA
West Yorkshire,14,Media and Communication,2,Public Relations Executive,7,Blogging,Social Media,NA
West Yorkshire,14,Media and Communication,2,Public Relations Executive,8,Marketing,Marketing,NA
West Yorkshire,14,Media and Communication,2,Public Relations Executive,9,Social Media,Online Marketing,NA
West Yorkshire,14,Media and Communication,2,Public Relations Executive,10,Search Engine Optimization (SEO),Copywriting,NA
West Yorkshire,14,Media and Communication,3,Content Producer,1,Video Editing,Video Editing,NA
West Yorkshire,14,Media and Communication,3,Content Producer,2,Video Production,Social Media,NA
West Yorkshire,14,Media and Communication,3,Content Producer,3,Adobe Premiere Pro,Social Media Marketing,NA
West Yorkshire,14,Media and Communication,3,Content Producer,4,Editing,Video Production,NA
West Yorkshire,14,Media and Communication,3,Content Producer,5,Social Media Marketing,Adobe Premiere Pro,NA
West Yorkshire,14,Media and Communication,3,Content Producer,6,Social Media,Adobe Photoshop,NA
West Yorkshire,14,Media and Communication,3,Content Producer,7,Digital Media,Editing,NA
West Yorkshire,14,Media and Communication,3,Content Producer,8,Adobe Photoshop,Photography,NA
West Yorkshire,14,Media and Communication,3,Content Producer,9,Photography,YouTube,NA
West Yorkshire,14,Media and Communication,3,Content Producer,10,Digital Marketing,Digital Marketing,NA
West Yorkshire,14,Media and Communication,4,Communications Associate,1,Internal Communications,Internal Communications,NA
West Yorkshire,14,Media and Communication,4,Communications Associate,2,Strategic Communications,Strategic Communications,NA
West Yorkshire,14,Media and Communication,4,Communications Associate,3,Copywriting,Corporate Communications,NA
West Yorkshire,14,Media and Communication,4,Communications Associate,4,Corporate Communications,Copywriting,NA
West Yorkshire,14,Media and Communication,4,Communications Associate,5,Press Releases,Communications Planning,NA
West Yorkshire,14,Media and Communication,4,Communications Associate,6,Public Relations,Internal & External Communications,NA
West Yorkshire,14,Media and Communication,4,Communications Associate,7,Media Relations,Social Media,NA
West Yorkshire,14,Media and Communication,4,Communications Associate,8,Social Media,Crisis Communications,NA
West Yorkshire,14,Media and Communication,4,Communications Associate,9,Social Media Marketing,Marketing,NA
West Yorkshire,14,Media and Communication,4,Communications Associate,10,Social Media Communications,Social Media Communications,NA
West Yorkshire,14,Media and Communication,5,Corporate Communications Officer,1,Press Releases,Internal Communications,NA
West Yorkshire,14,Media and Communication,5,Corporate Communications Officer,2,Internal Communications,Strategic Communications,NA
West Yorkshire,14,Media and Communication,5,Corporate Communications Officer,3,Media Relations,Corporate Communications,NA
West Yorkshire,14,Media and Communication,5,Corporate Communications Officer,4,Strategic Communications,Copywriting,NA
West Yorkshire,14,Media and Communication,5,Corporate Communications Officer,5,Corporate Communications,Public Relations,NA
West Yorkshire,14,Media and Communication,5,Corporate Communications Officer,6,Copywriting,Social Media,NA
West Yorkshire,14,Media and Communication,5,Corporate Communications Officer,7,Public Relations,Social Media Marketing,NA
West Yorkshire,14,Media and Communication,5,Corporate Communications Officer,8,Social Media Communications,Communications Planning,NA
West Yorkshire,14,Media and Communication,5,Corporate Communications Officer,9,Newsletters,Stakeholder Engagement,NA
West Yorkshire,14,Media and Communication,5,Corporate Communications Officer,10,Internal & External Communications,Web Content Writing,NA
West Yorkshire,14,Media and Communication,6,Communications Program Manager,1,Copywriting,Social Media Marketing,NA
West Yorkshire,14,Media and Communication,6,Communications Program Manager,2,Press Releases,Digital Marketing,NA
West Yorkshire,14,Media and Communication,6,Communications Program Manager,3,Social Media Marketing,Marketing,NA
West Yorkshire,14,Media and Communication,6,Communications Program Manager,4,Digital Marketing,Marketing Strategy,NA
West Yorkshire,14,Media and Communication,6,Communications Program Manager,5,Internal Communications,Event Management,NA
West Yorkshire,14,Media and Communication,6,Communications Program Manager,6,Public Relations,Social Media,NA
West Yorkshire,14,Media and Communication,6,Communications Program Manager,7,Web Content Writing,NA,NA
West Yorkshire,14,Media and Communication,6,Communications Program Manager,8,Media Relations,NA,NA
West Yorkshire,14,Media and Communication,6,Communications Program Manager,9,Email Marketing,NA,NA
West Yorkshire,14,Media and Communication,6,Communications Program Manager,10,Corporate Communications,NA,NA
West Yorkshire,14,Media and Communication,7,Video Editor,1,Video Editing,Video Editing,NA
West Yorkshire,14,Media and Communication,7,Video Editor,2,Adobe Premiere Pro,Adobe Premiere Pro,NA
West Yorkshire,14,Media and Communication,7,Video Editor,3,After Effects,Video Production,NA
West Yorkshire,14,Media and Communication,7,Video Editor,4,Video Post-Production,After Effects,NA
West Yorkshire,14,Media and Communication,7,Video Editor,5,Video Production,Video,NA
West Yorkshire,14,Media and Communication,7,Video Editor,6,Video,Final Cut Pro,NA
West Yorkshire,14,Media and Communication,7,Video Editor,7,Final Cut Pro,Editing,NA
West Yorkshire,14,Media and Communication,7,Video Editor,8,Videography,Adobe Photoshop,NA
West Yorkshire,14,Media and Communication,7,Video Editor,9,Film Production,Avid Media Composer,NA
West Yorkshire,14,Media and Communication,7,Video Editor,10,Editing,Videography,NA
West Yorkshire,15,Education,1,Sports Coach,1,Sports Coaching,Sports Coaching,NA
West Yorkshire,15,Education,1,Sports Coach,2,Sports,Sports,NA
West Yorkshire,15,Education,1,Sports Coach,3,Sports Management,Sports Management,NA
West Yorkshire,15,Education,1,Sports Coach,4,Football Coaching,Football,NA
West Yorkshire,15,Education,1,Sports Coach,5,Football,Coaching,NA
West Yorkshire,15,Education,1,Sports Coach,6,Sports Development,Sports Development,NA
West Yorkshire,15,Education,1,Sports Coach,7,Athletics,Athletics,NA
West Yorkshire,15,Education,1,Sports Coach,8,Coaching,Football Coaching,NA
West Yorkshire,15,Education,1,Sports Coach,9,Fitness,Teaching,NA
West Yorkshire,15,Education,1,Sports Coach,10,Physical Education,Sports Marketing,NA
West Yorkshire,15,Education,2,Academic Tutor,1,Public Speaking,Teamwork,NA
West Yorkshire,15,Education,2,Academic Tutor,2,Teamwork,Communication,NA
West Yorkshire,15,Education,2,Academic Tutor,3,Time Management,Time Management,NA
West Yorkshire,15,Education,2,Academic Tutor,4,Research,Public Speaking,NA
West Yorkshire,15,Education,2,Academic Tutor,5,Communication,Research,NA
West Yorkshire,15,Education,2,Academic Tutor,6,Social Media,Problem Solving,NA
West Yorkshire,15,Education,2,Academic Tutor,7,MATLAB,Microsoft Word,NA
West Yorkshire,15,Education,2,Academic Tutor,8,Organization Skills,Microsoft PowerPoint,NA
West Yorkshire,15,Education,2,Academic Tutor,9,Presentation Skills,Leadership,NA
West Yorkshire,15,Education,2,Academic Tutor,10,IBM SPSS,Organization Skills,NA
West Yorkshire,15,Education,3,Football Coach,1,Football Coaching,Football Coaching,NA
West Yorkshire,15,Education,3,Football Coach,2,Sports Coaching,Sports Coaching,NA
West Yorkshire,15,Education,3,Football Coach,3,Football,Sports,NA
West Yorkshire,15,Education,3,Football Coach,4,Sports,Football,NA
West Yorkshire,15,Education,3,Football Coach,5,Player Development,Sports Management,NA
West Yorkshire,15,Education,3,Football Coach,6,Soccer,Coaching,NA
West Yorkshire,15,Education,3,Football Coach,7,Sports Management,Sports Development,NA
West Yorkshire,15,Education,3,Football Coach,8,Sports Development,Fitness,NA
West Yorkshire,15,Education,3,Football Coach,9,Scouting,Teaching,NA
West Yorkshire,15,Education,3,Football Coach,10,Coaching,Leadership,NA
West Yorkshire,15,Education,4,English Tutor,1,English Teaching,Tutoring,NA
West Yorkshire,15,Education,4,English Tutor,2,Teaching English as a Foreign Language,English Teaching,NA
West Yorkshire,15,Education,4,English Tutor,3,Writing,English,NA
West Yorkshire,15,Education,4,English Tutor,4,Teaching,Teaching,NA
West Yorkshire,15,Education,4,English Tutor,5,English Literature,Writing,NA
West Yorkshire,15,Education,4,English Tutor,6,Teaching English as a Second Language,Research,NA
West Yorkshire,15,Education,4,English Tutor,7,Language Teaching,Communication,NA
West Yorkshire,15,Education,4,English Tutor,8,Online Tutoring,Education,NA
West Yorkshire,15,Education,4,English Tutor,9,Creative Writing,Teamwork,NA
West Yorkshire,15,Education,4,English Tutor,10,Proofreading,Time Management,NA
West Yorkshire,15,Education,5,Academic Administrator,1,Curriculum Development,Staff Development,NA
West Yorkshire,15,Education,5,Academic Administrator,2,Higher Education,Teaching,NA
West Yorkshire,15,Education,5,Academic Administrator,3,Educational Leadership,Higher Education,NA
West Yorkshire,15,Education,5,Academic Administrator,4,Staff Development,Educational Leadership,NA
West Yorkshire,15,Education,5,Academic Administrator,5,E-Learning,Teacher Training,NA
West Yorkshire,15,Education,5,Academic Administrator,6,Teaching,E-Learning,NA
West Yorkshire,15,Education,5,Academic Administrator,7,Teacher Training,Coaching,NA
West Yorkshire,15,Education,5,Academic Administrator,8,Education,Curriculum Development,NA
West Yorkshire,15,Education,5,Academic Administrator,9,Admissions,Education,NA
West Yorkshire,15,Education,5,Academic Administrator,10,Leadership Development,Training Delivery,NA
West Yorkshire,15,Education,6,Mathematics Tutor,1,Mathematics,Tutoring,NA
West Yorkshire,15,Education,6,Mathematics Tutor,2,Mathematics Education,Mathematics,NA
West Yorkshire,15,Education,6,Mathematics Tutor,3,MATLAB,Python (Programming Language),NA
West Yorkshire,15,Education,6,Mathematics Tutor,4,Python (Programming Language),LaTeX,NA
West Yorkshire,15,Education,6,Mathematics Tutor,5,LaTeX,Teaching,NA
West Yorkshire,15,Education,6,Mathematics Tutor,6,Teaching,Mathematics Education,NA
West Yorkshire,15,Education,6,Mathematics Tutor,7,R (Programming Language),MATLAB,NA
West Yorkshire,15,Education,6,Mathematics Tutor,8,Statistics,Problem Solving,NA
West Yorkshire,15,Education,6,Mathematics Tutor,9,Physics,Microsoft Excel,NA
West Yorkshire,15,Education,6,Mathematics Tutor,10,Mathematical Modeling,R (Programming Language),NA
West Yorkshire,15,Education,7,Teaching Assistant,1,Assistant Teaching,Teaching,NA
West Yorkshire,15,Education,7,Teaching Assistant,2,MATLAB,Research,NA
West Yorkshire,15,Education,7,Teaching Assistant,3,IBM SPSS,Assistant Teaching,NA
West Yorkshire,15,Education,7,Teaching Assistant,4,Research,Qualitative Research,NA
West Yorkshire,15,Education,7,Teaching Assistant,5,LaTeX,IBM SPSS,NA
West Yorkshire,15,Education,7,Teaching Assistant,6,Working With Children,Data Analysis,NA
West Yorkshire,15,Education,7,Teaching Assistant,7,Python (Programming Language),Working With Children,NA
West Yorkshire,15,Education,7,Teaching Assistant,8,Qualitative Research,Education,NA
West Yorkshire,15,Education,7,Teaching Assistant,9,Statistics,Teamwork,NA
West Yorkshire,15,Education,7,Teaching Assistant,10,R (Programming Language),Higher Education,NA
West Yorkshire,15,Education,8,Elementary School Teacher,1,Lesson Planning,Teaching,NA
West Yorkshire,15,Education,8,Elementary School Teacher,2,Classroom Management,Lesson Planning,NA
West Yorkshire,15,Education,8,Elementary School Teacher,3,Curriculum Development,Classroom Management,NA
West Yorkshire,15,Education,8,Elementary School Teacher,4,Qualified Teacher,Curriculum Development,NA
West Yorkshire,15,Education,8,Elementary School Teacher,5,Elementary Education,Education,NA
West Yorkshire,15,Education,8,Elementary School Teacher,6,Educational Leadership,Qualified Teacher,NA
West Yorkshire,15,Education,8,Elementary School Teacher,7,Behavior Management,Working With Children,NA
West Yorkshire,15,Education,8,Elementary School Teacher,8,Education,Behavior Management,NA
West Yorkshire,15,Education,8,Elementary School Teacher,9,Working With Children,Early Childhood Education,NA
West Yorkshire,15,Education,8,Elementary School Teacher,10,Teaching,Safeguarding Children,NA
West Yorkshire,16,Arts and Design,1,User Experience Designer,1,Wireframing,Wireframing,NA
West Yorkshire,16,Arts and Design,1,User Experience Designer,2,User Experience Design (UED),User Experience Design (UED),NA
